"opr_date","nodename","he01","he02","he03","he04","he05","he06","he07","he08","he09","he10","he11","he12","he13","he14","he15","he16","he17","he18","he19","he20","he21","he22","he23","he24","updated_at"
2024-07-26,AVA,967.20,932.20,911.00,886.20,919.40,983.60,1073.80,1123.50,1174.30,1204.40,1259.60,1253.60,1291.80,1333.50,1370.50,1410.90,1441.20,1455.60,1434.10,1372.20,1322.30,1274.70,1166.80,1060.60,2024-07-26 07:17:55.846 -0700
2024-07-26,BPAT,5533.10,5357.70,5211.10,5171.40,5204.00,5427.80,5796.50,5981.60,6154.70,6270.00,6377.10,6546.20,6538.30,6647.90,6789.20,6937.30,7119.00,7233.00,7219.70,7106.40,6833.40,6571.60,6341.40,5942.20,2024-07-26 07:17:55.846 -0700
2024-07-26,PGE-TAC,13697.20,12941.50,11149.20,10999.40,10644.20,12141.80,11406.00,12706.60,12360.60,12131.60,10505.40,11876.10,11939.90,11827.90,13350.60,14399.70,14335.40,15031.20,16748.20,16888.10,16617.20,16064.60,15028.30,12249.30,2024-07-26 07:17:55.846 -0700
2024-07-26,PACNW,23619.11,22634.07,21969.26,21699.47,21891.85,22786.45,24344.80,25775.07,26852.77,27472.63,27954.80,28574.42,29119.45,29689.61,30258.91,30940.06,31625.71,32068.85,31772.25,30993.05,30030.18,29222.75,27646.51,25752.91,2024-07-26 07:17:55.846 -0700
2024-07-26,LADWP,2998.90,2772.30,2619.40,2508.00,2448.40,2498.10,2613.90,2770.10,3006.90,3171.40,3462.70,3633.60,3856.00,4020.50,4267.00,4417.40,4418.60,4411.90,4203.50,3961.10,3781.00,3578.30,3360.40,3092.50,2024-07-26 07:17:55.846 -0700
2024-07-27,TPWR,370.91,334.14,343.25,323.02,326.27,326.23,332.33,347.40,379.27,414.43,423.23,439.30,443.45,457.61,464.77,475.23,487.24,493.58,488.12,474.20,457.99,459.23,427.77,395.55,2024-07-27 07:17:50.236 -0700
2024-08-06,NEVP,6103.85,5828.92,5506.61,5322.52,5162.13,5260.16,5066.13,5357.57,5560.85,6137.57,6659.69,7036.35,7569.85,7997.50,8376.63,8729.88,8874.83,9008.37,8800.47,8388.48,8034.52,7577.15,7107.93,6589.51,2024-08-06 07:17:52.819 -0700
2024-07-31,CA ISO-TAC,24608.34,23098.99,21941.47,21362.40,23867.81,24721.71,25689.33,23282.88,26021.33,22971.41,22393.34,22756.38,23355.79,24949.54,27045.82,29235.16,31616.17,36382.17,34652.24,37019.68,33371.07,31908.19,29465.51,27036.45,2024-07-31 07:18:03.782 -0700
2024-07-31,NWMT,1238.60,1172.10,1168.20,1159.05,1184.30,1259.20,1333.85,1347.35,1403.35,1422.65,1460.05,1499.05,1546.45,1584.85,1638.95,1686.50,1705.25,1687.95,1631.35,1558.80,1519.40,1438.60,1332.35,1261.90,2024-07-31 07:18:03.782 -0700
2024-08-06,IPCO,2555.60,2484.98,2393.51,2399.61,2396.24,2467.68,2539.01,2678.24,2802.68,3006.82,3147.36,3271.17,3421.60,3518.41,3585.33,3634.99,3641.53,3682.36,3612.84,3491.68,3303.06,3062.91,2838.82,2655.78,2024-08-06 07:17:52.819 -0700
