"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type","resource_xref","resource_mask","dyn_label","gen_type","max_bid","asset_xref","gen_xref","resource_id","classification","qf","resource_agg_type","parent_resource_id","resource_type","gen_unit_name","net_dependable_capacity","nameplate_capacity","pto_area","owner_or_qf","unit_type","energy_source","zone","cod","river_system","baa_id","udc"
1001739,158105,394840,GENERATOR,1001638,394840,SOLBLU_2_WSBBX2,,225,1001739,100778,SOLBLU_2_WSBBX2,Participating Unit,N,Y,SOLBLU_2_WSBBX2,GEN,Westlands Solar Blue BESS,225.00000000000000000,,PGAE,"Westlands Solar Blue (OZ) Owner, LLC",OTHER,LESR,NP15,"2023-12-13",,CISO,PGAE
1001740,386315,435016,GENERATOR,1001961,435016,,,,1001740,,,,,,,,,,,,,,,,,,,
1001784,173992,540235,GENERATOR,1001599,540235,,,,1001784,,,,,,,,,,,,,,,,,,,
1001790,187496,661055,GENERATOR,1001841,661055,,,100,1001790,,,,,,,,,,,,,,,,,,,
1001812,505359,950515,GENERATOR,1001597,950515,,,100,1001812,,,,,,,,,,,,,,,,,,,
1001832,386315,785733,GENERATOR,1001916,785733,,,,1001832,,,,,,,,,,,,,,,,,,,
1001838,419375,634616,GENERATOR,1001669,634616,TUMBWD_2_WISBT4,,74.82,1001838,101642,TUMBWD_2_WISBT4,Participating Unit,N,N,"",GEN,Willow Springs Solar 4,74.81999999999999318,75.00000000000000000,SCE,"Tumbleweed Energy, LLC",OTHER,LESR,SP15,"2024-08-14",,CISO,SCE
1001843,575998,694315,GENERATOR,1001962,694315,,,,1001843,,,,,,,,,,,,,,,,,,,
1001873,258019,387128,GENERATOR,1001579,387128,,,,1001873,,,,,,,,,,,,,,,,,,,
1001893,505359,521317,GENERATOR,1001968,521317,,,230,1001893,,,,,,,,,,,,,,,,,,,
1001894,380000,787730,GENERATOR,1001892,787730,,,135,1001894,,,,,,,,,,,,,,,,,,,
1001912,575998,455287,GENERATOR,1001587,455287,,,,1001912,,,,,,,,,,,,,,,,,,,
1001915,386315,174106,GENERATOR,1001619,174106,,,,1001915,,,,,,,,,,,,,,,,,,,
1001939,766049,161666,GENERATOR,1001697,161666,,,50,1001939,,,,,,,,,,,,,,,,,,,
1001986,410435,455364,GENERATOR,1001668,455364,,,50,1001986,,,,,,,,,,,,,,,,,,,
1001992,386315,106665,GENERATOR,1001611,106665,,,,1001992,,,,,,,,,,,,,,,,,,,
1001993,187496,462999,GENERATOR,1000287,462999,,,,1001993,,,,,,,,,,,,,,,,,,,
1001995,173992,134625,GENERATOR,1001969,134625,WSTWND_2_SBSBT3,,59,1001995,101291,WSTWND_2_SBSBT3,Participating Unit,N,N,"",GEN,Sagebrush Solar 2 ESS 59,59.00000000000000000,59.00000000000000000,SCE,"Sagebrush ESS II, LLC",OTHER,LESR,SP15,"2024-08-13",,CISO,SCE
1001996,522779,436148,GENERATOR,1001614,436148,,,50,1001996,,,,,,,,,,,,,,,,,,,
1001998,434510,218483,GENERATOR,1001927,218483,,,,1001998,,,,,,,,,,,,,,,,,,,
1002003,505359,630409,GENERATOR,1001931,630409,,,230,1002003,,,,,,,,,,,,,,,,,,,
1005811,640802,328168,GENERATOR,1005526,328168,,,,1005811,,,,,,,,,,,,,,,,,,,
1005812,407459,111549,GENERATOR,1005517,111549,,,,1005812,,,,,,,,,,,,,,,,,,,
1005816,101877,830513,GENERATOR,1005525,830513,,,,1005816,,,,,,,,,,,,,,,,,,,
1005820,187496,870487,GENERATOR,1005516,870487,,,,1005820,,,,,,,,,,,,,,,,,,,
