"asset_xref","schedulingcoordinator_seq","resourcebid_seq","resource_type"
1000732,372368,814109,LOAD
1000733,146104,183275,GENERATOR
1000734,138185,142922,GENERATOR
1000735,153531,920722,GENERATOR
1000736,293210,204333,GENERATOR
1000737,181897,839103,INTERTIE
1000738,505359,117435,GENERATOR
1000739,187496,650703,GENERATOR
1000740,139213,160605,GENERATOR
1000741,165869,104756,GENERATOR
1000742,259501,185344,GENERATOR
1000743,138185,946116,GENERATOR
1000744,505359,303733,GENERATOR
1000745,371989,563035,GENERATOR
1000746,139213,730262,GENERATOR
1000747,987777,213199,GENERATOR
1000748,153531,187121,GENERATOR
1000749,417454,345462,GENERATOR
1000750,187496,324007,GENERATOR
1000751,245368,376200,GENERATOR
1000752,109347,309246,INTERTIE
1000753,206034,303460,LOAD
1000754,242731,469107,INTERTIE
1000755,139213,553702,GENERATOR
1000756,670463,411154,INTERTIE
1000757,139213,555343,GENERATOR
1000758,242731,394616,LOAD
1000759,695673,120025,GENERATOR
1000760,725439,742465,GENERATOR
1000761,725439,593360,GENERATOR
1000762,160711,555191,GENERATOR
1000763,725439,987235,GENERATOR
1000764,379184,182859,GENERATOR
1000765,505359,312885,GENERATOR
1000766,410435,744292,GENERATOR
1000767,505359,289323,GENERATOR
1000768,205639,178982,INTERTIE
1000769,735081,289483,LOAD
1000770,139213,101706,GENERATOR
1000771,505359,492010,GENERATOR
1000772,200102,593993,GENERATOR
1000773,505359,116055,GENERATOR
1000774,117679,540737,LOAD
1000775,139213,209856,GENERATOR
1000776,245368,166600,GENERATOR
1000777,139213,798542,GENERATOR
1000778,533649,905347,GENERATOR
1000779,505359,548023,GENERATOR
1000780,199285,157150,LOAD
1000781,242731,181514,GENERATOR
1000782,612454,201838,GENERATOR
1000783,117679,568599,LOAD
1000784,371989,133660,GENERATOR
1000785,403257,392473,LOAD
1000786,505359,798849,GENERATOR
1000787,139213,168751,GENERATOR
1000788,138185,374416,GENERATOR
1000789,172142,181841,GENERATOR
1000790,245368,114630,GENERATOR
1000791,138185,443135,GENERATOR
1000792,505359,666436,GENERATOR
1000793,187496,140623,GENERATOR
1000794,821697,117854,GENERATOR
1000795,138185,108845,GENERATOR
1000796,153531,465843,GENERATOR
1000797,725439,583984,LOAD
1000798,122851,978832,GENERATOR
1000799,701727,122779,GENERATOR
1000800,139213,874205,GENERATOR
1000801,505359,828735,GENERATOR
1000802,505359,102982,GENERATOR
1000803,195793,204091,GENERATOR
1000804,172142,715414,GENERATOR
1000805,139213,321061,GENERATOR
1000806,211345,118049,GENERATOR
1000807,193172,418650,GENERATOR
1000808,775905,386441,GENERATOR
1000809,505359,202158,GENERATOR
1000810,985834,101127,INTERTIE
1000811,139213,678652,GENERATOR
1000812,505359,192279,GENERATOR
1000813,968016,955434,GENERATOR
1000814,434510,932117,LOAD
1000815,139213,883073,GENERATOR
1000816,139213,185644,GENERATOR
1000817,132155,629486,LOAD
1000818,575998,493401,GENERATOR
1000819,712391,108432,INTERTIE
1000820,139213,428176,GENERATOR
1000821,865232,277359,GENERATOR
1000822,505359,417530,GENERATOR
