"resource_xref","resource_mask","dyn_label","gen_type","max_bid"
1000852,193937,COLGAT_7_UNIT 1,,176.72
1000917,996404,,,
1000920,564181,,,
1000921,135242,,,
1000922,995483,,,
1000923,104183,,,
1000925,152494,,,
1000927,707240,,,
1004989,138546,,,
1000929,447824,,,
1004990,957588,,,
1000931,443135,,,
1000933,171240,,,
1004991,440206,,,
1000935,192146,,,
1000937,696530,,,
1004992,295276,,,
1000939,844001,,,
1000942,196722,,,
1000943,292532,,,
1000947,534269,,,
1004993,446775,,,
1000949,364528,,,
1000950,309246,,,
1000951,101298,,,
1000952,713354,,,
1004994,943653,,,
1000954,204933,,,
1000955,179474,,,
1004995,829995,,,
1000959,154399,,,
1000960,101127,,,
1000963,176863,,,
1004996,972501,,,
1000965,174381,,,
1000966,630958,,,
1000967,102082,,,
1000968,178982,,,
1000969,566998,,,
1004997,765820,,,
1000973,133683,,,
1000974,214685,,,
1004998,163408,,,
1000977,197004,,,
1000979,166407,,,
1000980,210756,,,
1004999,748008,,,
1000983,764895,,,
1000984,892312,,,
1000985,213055,,,
1000986,975404,,,
1005000,581475,,,
1000992,167500,,,
1005001,198049,,,
1000995,920722,,,
1000996,106042,,,
1000997,328674,,,
1000998,115630,,,
1000999,324389,,,
1005002,619021,,,
1005003,164805,,,
1001009,200707,,,
1001010,419838,,,
1001011,817770,,,
1001012,212040,,,
1001013,840093,,,
1001014,864340,,,
1001015,993409,,,
1001016,308762,,,
1005004,246133,,,
1005005,127194,,,
1005006,265050,,,
1001023,715760,,,
1001024,489775,,,
1001025,841533,,,
1005007,418263,,,
1005008,484259,,,
1005009,112535,,,
1001116,552587,RUSCTY_2_UNITS,,615.18
1001031,190721,,,
1001032,784896,,,
1000972,995301,MRCHNT_2_PL1X3,,494.58
1001037,415606,,,
1001001,122779,BUCKBL_2_PL1X3,,493.63
1001040,880436,,,
1001047,154471,,,
1001048,631302,,,
1001050,114387,,,
1001052,185251,,,
1001053,213260,,,
1001055,209827,,,
1001059,127784,,,
1001061,178981,,,
1001062,133667,,,
1001065,214960,,,
